,alg,fun,dim,inst,run,fit,fungroup,logscore
393,PSO,1,10,12,4,1e-08,1,0.0
394,PSO,1,10,12,5,1e-08,1,0.0
395,PSO,1,10,12,6,1e-08,1,0.0
396,PSO,1,10,12,7,1e-08,1,0.0
397,PSO,1,10,12,8,1e-08,1,0.0
398,PSO,1,10,12,9,1e-08,1,0.0
399,PSO,1,10,12,10,1e-08,1,0.0
400,PSO,1,10,12,11,1e-08,1,0.0
401,PSO,1,10,12,12,1e-08,1,0.0
402,PSO,1,10,12,13,1e-08,1,0.0
403,PSO,1,10,12,14,1e-08,1,0.0
404,PSO,1,10,12,15,1e-08,1,0.0
405,PSO,1,10,13,1,1e-08,1,0.0
406,PSO,1,10,13,2,1e-08,1,0.0
407,PSO,1,10,13,3,1e-08,1,0.0
408,PSO,1,10,13,4,1e-08,1,0.0
409,PSO,1,10,13,5,1e-08,1,0.0
410,PSO,1,10,13,6,1e-08,1,0.0
411,PSO,1,10,13,7,1e-08,1,0.0
412,PSO,1,10,13,8,1e-08,1,0.0
413,PSO,1,10,13,9,1e-08,1,0.0
414,PSO,1,10,13,10,1e-08,1,0.0
415,PSO,1,10,13,11,1e-08,1,0.0
416,PSO,1,10,13,12,1e-08,1,0.0
417,PSO,1,10,13,13,1e-08,1,0.0
418,PSO,1,10,13,14,1e-08,1,0.0
419,PSO,1,10,13,15,1e-08,1,0.0
420,PSO,1,10,14,1,1e-08,1,0.0
421,PSO,1,10,14,2,1e-08,1,0.0
422,PSO,1,10,14,3,1e-08,1,0.0
423,PSO,1,10,14,4,1e-08,1,0.0
424,PSO,1,10,14,5,1e-08,1,0.0
425,PSO,1,10,14,6,1e-08,1,0.0
426,PSO,1,10,14,7,1e-08,1,0.0
427,PSO,1,10,14,8,1e-08,1,0.0
428,PSO,1,10,14,9,1e-08,1,0.0
429,PSO,1,10,14,10,1e-08,1,0.0
430,PSO,1,10,14,11,1e-08,1,0.0
431,PSO,1,10,14,12,1e-08,1,0.0
432,PSO,1,10,14,13,1e-08,1,0.0
433,PSO,1,10,14,14,1e-08,1,0.0
434,PSO,1,10,14,15,1e-08,1,0.0
435,PSO,1,10,15,1,1e-08,1,0.0
436,PSO,1,10,15,2,1e-08,1,0.0
437,PSO,1,10,15,3,1e-08,1,0.0
438,PSO,1,10,15,4,1e-08,1,0.0
439,PSO,1,10,15,5,1e-08,1,0.0
440,PSO,1,10,15,6,1e-08,1,0.0
441,PSO,1,10,15,7,1e-08,1,0.0
442,PSO,1,10,15,8,1e-08,1,0.0
443,PSO,1,10,15,9,1e-08,1,0.0
444,PSO,1,10,15,10,1e-08,1,0.0
445,PSO,1,10,15,11,1e-08,1,0.0
446,PSO,1,10,15,12,1e-08,1,0.0
447,PSO,1,10,15,13,1e-08,1,0.0
448,PSO,1,10,15,14,1e-08,1,0.0
449,PSO,1,10,15,15,1e-08,1,0.0
450,PSO,1,20,1,1,1e-08,1,0.0
451,PSO,1,20,1,2,1e-08,1,0.0
452,PSO,1,20,1,3,1e-08,1,0.0
453,PSO,1,20,1,4,1e-08,1,0.0
454,PSO,1,20,1,5,1e-08,1,0.0
455,PSO,1,20,1,6,1e-08,1,0.0
456,PSO,1,20,1,7,1e-08,1,0.0
457,PSO,1,20,1,8,1e-08,1,0.0
458,PSO,1,20,1,9,1e-08,1,0.0
459,PSO,1,20,1,10,1e-08,1,0.0
460,PSO,1,20,1,11,1e-08,1,0.0
461,PSO,1,20,1,12,1e-08,1,0.0
462,PSO,1,20,1,13,1e-08,1,0.0
463,PSO,1,20,1,14,1e-08,1,0.0
464,PSO,1,20,1,15,1e-08,1,0.0
465,PSO,1,20,2,1,1e-08,1,0.0
466,PSO,1,20,2,2,1e-08,1,0.0
467,PSO,1,20,2,3,1e-08,1,0.0
468,PSO,1,20,2,4,1e-08,1,0.0
469,PSO,1,20,2,5,1e-08,1,0.0
470,PSO,1,20,2,6,1e-08,1,0.0
471,PSO,1,20,2,7,1e-08,1,0.0
472,PSO,1,20,2,8,1e-08,1,0.0
473,PSO,1,20,2,9,1e-08,1,0.0
474,PSO,1,20,2,10,1e-08,1,0.0
475,PSO,1,20,2,11,1e-08,1,0.0
476,PSO,1,20,2,12,1e-08,1,0.0
477,PSO,1,20,2,13,1e-08,1,0.0
478,PSO,1,20,2,14,1e-08,1,0.0
479,PSO,1,20,2,15,1e-08,1,0.0
480,PSO,1,20,3,1,1e-08,1,0.0
481,PSO,1,20,3,2,1e-08,1,0.0
482,PSO,1,20,3,3,1e-08,1,0.0
483,PSO,1,20,3,4,1e-08,1,0.0
484,PSO,1,20,3,5,1e-08,1,0.0
485,PSO,1,20,3,6,1e-08,1,0.0
486,PSO,1,20,3,7,1e-08,1,0.0
487,PSO,1,20,3,8,1e-08,1,0.0
488,PSO,1,20,3,9,1e-08,1,0.0
489,PSO,1,20,3,10,1e-08,1,0.0
490,PSO,1,20,3,11,1e-08,1,0.0
491,PSO,1,20,3,12,1e-08,1,0.0
492,PSO,1,20,3,13,1e-08,1,0.0
493,PSO,1,20,3,14,1e-08,1,0.0
494,PSO,1,20,3,15,1e-08,1,0.0
495,PSO,1,20,4,1,1e-08,1,0.0
496,PSO,1,20,4,2,1e-08,1,0.0
497,PSO,1,20,4,3,1e-08,1,0.0
498,PSO,1,20,4,4,1e-08,1,0.0
499,PSO,1,20,4,5,1e-08,1,0.0
500,PSO,1,20,4,6,1e-08,1,0.0
501,PSO,1,20,4,7,1e-08,1,0.0
502,PSO,1,20,4,8,1e-08,1,0.0
503,PSO,1,20,4,9,1e-08,1,0.0
504,PSO,1,20,4,10,1e-08,1,0.0
505,PSO,1,20,4,11,1e-08,1,0.0
506,PSO,1,20,4,12,1e-08,1,0.0
507,PSO,1,20,4,13,1e-08,1,0.0
508,PSO,1,20,4,14,1e-08,1,0.0
509,PSO,1,20,4,15,1e-08,1,0.0
510,PSO,1,20,5,1,1e-08,1,0.0
511,PSO,1,20,5,2,1e-08,1,0.0
512,PSO,1,20,5,3,1e-08,1,0.0
513,PSO,1,20,5,4,1e-08,1,0.0
514,PSO,1,20,5,5,1e-08,1,0.0
515,PSO,1,20,5,6,1e-08,1,0.0
516,PSO,1,20,5,7,1e-08,1,0.0
517,PSO,1,20,5,8,1e-08,1,0.0
518,PSO,1,20,5,9,1e-08,1,0.0
519,PSO,1,20,5,10,1e-08,1,0.0
520,PSO,1,20,5,11,1e-08,1,0.0
521,PSO,1,20,5,12,1e-08,1,0.0
522,PSO,1,20,5,13,1e-08,1,0.0
523,PSO,1,20,5,14,1e-08,1,0.0
524,PSO,1,20,5,15,1e-08,1,0.0
525,PSO,1,20,6,1,1e-08,1,0.0
526,PSO,1,20,6,2,1e-08,1,0.0
527,PSO,1,20,6,3,1e-08,1,0.0
528,PSO,1,20,6,4,1e-08,1,0.0
529,PSO,1,20,6,5,1e-08,1,0.0
530,PSO,1,20,6,6,1e-08,1,0.0
531,PSO,1,20,6,7,1e-08,1,0.0
532,PSO,1,20,6,8,1e-08,1,0.0
533,PSO,1,20,6,9,1e-08,1,0.0
534,PSO,1,20,6,10,1e-08,1,0.0
535,PSO,1,20,6,11,1e-08,1,0.0
536,PSO,1,20,6,12,1e-08,1,0.0
537,PSO,1,20,6,13,1e-08,1,0.0
538,PSO,1,20,6,14,1e-08,1,0.0
539,PSO,1,20,6,15,1e-08,1,0.0
540,PSO,1,20,7,1,1e-08,1,0.0
541,PSO,1,20,7,2,1e-08,1,0.0
542,PSO,1,20,7,3,1e-08,1,0.0
543,PSO,1,20,7,4,1e-08,1,0.0
544,PSO,1,20,7,5,1e-08,1,0.0
545,PSO,1,20,7,6,1e-08,1,0.0
546,PSO,1,20,7,7,1e-08,1,0.0
547,PSO,1,20,7,8,1e-08,1,0.0
548,PSO,1,20,7,9,1e-08,1,0.0
549,PSO,1,20,7,10,1e-08,1,0.0
550,PSO,1,20,7,11,1e-08,1,0.0
551,PSO,1,20,7,12,1e-08,1,0.0
552,PSO,1,20,7,13,1e-08,1,0.0
553,PSO,1,20,7,14,1e-08,1,0.0
554,PSO,1,20,7,15,1e-08,1,0.0
